Documentary,Western,(no genres listed),Crime,Animation,Children,IMAX,Comedy,Thriller,Mystery,Film-Noir,Drama,Action,Fantasy,Musical,War,Horror,Sci-Fi,Romance,Adventure
,,,,,,,"Couch Trip, The (1988)",Kill Bill: Vol. 1 (2003),,,Disconnect (2012),Take Aim at the Police Van (Sono gosôsha wo nerae: 'Jûsangô taihisen' yori) (1960),,,,,,,
,,,,,,,Holiday (Jour de fête) (1949),"Hitcher, The (1986)",,,Zulu (1964),Terminator 2: Judgment Day (1991),,,,,,,
,,,,,,,I'm the One That I Want (2000),Before the Devil Knows You're Dead (2007),,,"Opposite of Sex, The (1998)",Gintama: The Movie (2010),,,,,,,
,,,,,,,Zootopia (2016),Wolf Creek (2005),,,And God Created Woman (Et Dieu... créa la femme) (1956),Maze Runner: The Death Cure (2018),,,,,,,
,,,,,,,Nowhere (1997),X2: X-Men United (2003),,,Arizona Dream (1993),Body of Lies (2008),,,,,,,
,,,,,,,Flubber (1997),Amores Perros (Love's a Bitch) (2000),,,Touch of Pink (2004),"Getaway, The (1972)",,,,,,,
,,,,,,,St Trinian's 2: The Legend of Fritton's Gold (2009),"Stepfather, The (1987)",,,Mad City (1997),Flyboys (2006),,,,,,,
,,,,,,,Lady Bird (2017),Kiss of Death (1995),,,Whip It (2009),World War Z (2013),,,,,,,
,,,,,,,Dead or Alive: Final (2002),Just Cause (1995),,,"Natural, The (1984)",Love Exposure (Ai No Mukidashi) (2008),,,,,,,
,,,,,,,"Night in the Life of Jimmy Reardon, A (1988)",Idiocracy (2006),,,Spun (2001),Throne of Blood (Kumonosu jô) (1957),,,,,,,
,,,,,,,Knockaround Guys (2002),"Salton Sea, The (2002)",,,Fahrenheit 451 (1966),"Touch of Zen, A (Xia nu) (1971)",,,,,,,
,,,,,,,"10th Kingdom, The (2000)","Lock, Stock & Two Smoking Barrels (1998)",,,"They Shoot Horses, Don't They? (1969)",Merantau (2009),,,,,,,
,,,,,,,"Royal Tenenbaums, The (2001)",Triangle (2009),,,"Man Vanishes, A (Ningen Johatsu) (1967)","Art of War, The (2000)",,,,,,,
,,,,,,,Casanova (2005),Furious 7 (2015),,,All the Right Moves (1983),Night Guards (2016),,,,,,,
,,,,,,,"Family, The (2013)",Mindhunters (2004),,,"Harder They Come, The (1973)","Three Musketeers, The (1948)",,,,,,,
,,,,,,,Hotel Transylvania (2012),Jennifer 8 (1992),,,Wuthering Heights (1939),Futurama: Bender's Game (2008),,,,,,,
,,,,,,,Class of Nuke 'Em High (1986),Despite the Falling Snow (2016),,,"Daytrippers, The (1996)",End of Days (1999),,,,,,,
,,,,,,,Designing Woman (1957),Basic (2003),,,White Noise (2005),"Dark Knight Rises, The (2012)",,,,,,,
,,,,,,,Woman of the Year (1942),"Forgotten, The (2004)",,,"Three Faces of Eve, The (1957)","Package, The (1989)",,,,,,,
,,,,,,,Oscar (1967),Deceiver (1997),,,Judgment at Nuremberg (1961),Attila (Attila Flagello di Dio) (1982),,,,,,,
,,,,,,,"Dream Team, The (1989)",Shaft (2000),,,"Langoliers, The (1995)",Godzilla: Final Wars (Gojira: Fainaru uôzu) (2004),,,,,,,
,,,,,,,Buzzard (2015),"Matador, The (2005)",,,Love Is a Many-Splendored Thing (1955),Scarface (1983),,,,,,,
,,,,,,,20 Dates (1998),Secret Agent (1936),,,8 Mile (2002),Universal Soldier: Day of Reckoning (2012),,,,,,,
,,,,,,,It's a Boy Girl Thing (2006),Maggie (2015),,,Great Expectations (1998),Palookaville (1996),,,,,,,
,,,,,,,"Machine Girl, The (Kataude mashin gâru) (2008)","Manchurian Candidate, The (1962)",,,House of Sand and Fog (2003),Dante's Inferno: An Animated Epic (2010),,,,,,,
,,,,,,,"Good Girl, The (2002)",Badlands (1973),,,Secrets & Lies (1996),Where Eagles Dare (1968),,,,,,,
,,,,,,,Wallace & Gromit: The Wrong Trousers (1993),Vanilla Sky (2001),,,Better Luck Tomorrow (2002),Batman Begins (2005),,,,,,,
,,,,,,,Whipped (2000),Ransom (1996),,,Electroma (2006),Jupiter Ascending (2015),,,,,,,
,,,,,,,"Purple Rose of Cairo, The (1985)",Joint Security Area (Gongdong gyeongbi guyeok JSA) (2000),,,What Happened Was... (1994),Wonder Woman (2017),,,,,,,
,,,,,,,Young Einstein (1988),Dead Calm (1989),,,Even the Rain (También la lluvia) (2010),Flatfoot on the Nile (Piedone d'Egitto) (1980),,,,,,,
,,,,,,,"Good, the Bad, the Weird, The (Joheunnom nabbeunnom isanghannom) (2008)","Life of David Gale, The (2003)",,,Jump In! (2007),Maniac Cop (1988),,,,,,,
,,,,,,,She's Out of Control (1989),Iron Man 3 (2013),,,Dog Days (Hundstage) (2001),"Patriot, The (1998)",,,,,,,
,,,,,,,Ghostbusters (a.k.a. Ghost Busters) (1984),Law Abiding Citizen (2009),,,Little Man Tate (1991),K-9 (1989),,,,,,,
,,,,,,,Inside Out (2015),Cutter's Way (1981),,,Jalla! Jalla! (2000),Bunraku (2010),,,,,,,
,,,,,,,Down with Love (2003),Fargo (1996),,,"Game, The (1997)",Wrong Turn 2: Dead End (2007),,,,,,,
,,,,,,,Stripes (1981),Only God Forgives (2013),,,"White Balloon, The (Badkonake sefid) (1995)",Diamonds Are Forever (1971),,,,,,,
,,,,,,,Tom and Jerry: A Nutcracker Tale (2007),Assassination Tango (2002),,,Rebecca (1940),"Fog, The (2005)",,,,,,,
,,,,,,,Twister (1990),Pi (1998),,,Pretty in Pink (1986),Day Watch (Dnevnoy dozor) (2006),,,,,,,
,,,,,,,Go for Zucker! (Alles auf Zucker!) (2004),Homefront (2013),,,Dedication (2007),Crime Story (Zhong an zu) (1993),,,,,,,
,,,,,,,Meet the Applegates (1991),Fear (1996),,,December Boys (2007),Big Trouble in Little China (1986),,,,,,,
,,,,,,,"No. 1 Ladies' Detective Agency, The (2008)",Ninja (2009),,,Somewhere (2010),"Wraith, The (1986)",,,,,,,
,,,,,,,Alice (1990),2048: Nowhere to Run (2017),,,Sydney (Hard Eight) (1996),Westworld (1973),,,,,,,
,,,,,,,Problem Child 2 (1991),Rollercoaster (1977),,,Untamed Heart (1993),Kindergarten Cop 2 (2016),,,,,,,
,,,,,,,Pootie Tang (2001),Saturn 3 (1980),,,Rocket Singh: Salesman of the Year (2009),Abduction (2011),,,,,,,
,,,,,,,Clockwatchers (1997),Blood Work (2002),,,Monsters (2010),Dragon Ball: The Curse Of The Blood Rubies (Doragon bôru: Shenron no densetsu) (1986),,,,,,,
,,,,,,,"Oh, God! Book II (1980)",Slow West (2015),,,Dogfight (1991),Kung Pow: Enter the Fist (2002),,,,,,,
,,,,,,,Sorry to Bother You (2018),Body Snatchers (1993),,,Babette's Feast (Babettes gæstebud) (1987),Hancock (2008),,,,,,,
,,,,,,,Indian Summer (a.k.a. Alive & Kicking) (1996),In Bruges (2008),,,"Lover, The (Amant, L') (1992)",Getaway (2013),,,,,,,
,,,,,,,The Hungover Games (2014),One False Move (1992),,,London Town (2016),Elysium (2013),,,,,,,
,,,,,,,Mr. 3000 (2004),Babylon A.D. (2008),,,"Twilight Saga: Breaking Dawn - Part 2, The (2012)",Poker Night (2014),,,,,,,
,,,,,,,"Night at the Roxbury, A (1998)",Skyfall (2012),,,Violets Are Blue... (1986),"Time Machine, The (2002)",,,,,,,
,,,,,,,Table 19 (2017),Fulltime Killer (Chuen jik sat sau) (2001),,,Palindromes (2004),"Road Warrior, The (Mad Max 2) (1981)",,,,,,,
,,,,,,,Gun Shy (2000),"Downfall (Untergang, Der) (2004)",,,Lumumba (2000),Batman vs. Robin (2015),,,,,,,
,,,,,,,Diary of a Wimpy Kid: Rodrick Rules (2011),Maniac Cop 2 (1990),,,Transsiberian (2008),Dragonheart 3: The Sorcerer's Curse (2015),,,,,,,
,,,,,,,What a Girl Wants (2003),Snitch (2013),,,"Ox-Bow Incident, The (1943)",Kickboxer (1989),,,,,,,
,,,,,,,I Love You to Death (1990),"American Friend, The (Amerikanische Freund, Der) (1977)",,,"I, Tonya (2017)",Thor: Ragnarok (2017),,,,,,,
,,,,,,,Dickie Roberts: Former Child Star (2003),Upstream Color (2013),,,Ordinary Miracle (1978),Jurassic Park III (2001),,,,,,,
,,,,,,,Ace Ventura: When Nature Calls (1995),Tideland (2005),,,Kicking and Screaming (1995),Snakes on a Plane (2006),,,,,,,
,,,,,,,Wallace and Gromit in 'A Matter of Loaf and Death' (2008),"Protector, The (1985)",,,"Upside of Anger, The (2005)",Dead Heat (1988),,,,,,,
,,,,,,,Long Live Ghosts! (1977),Raiders of the Lost Ark: The Adaptation (1989),,,Morning Glory (2010),Aspen Extreme (1993),,,,,,,
,,,,,,,"Patrik Age 1.5 (Patrik 1,5) (2008)","Man Apart, A (2003)",,,"Common Thread, A (a.k.a. Sequins) (Brodeuses) (2004)",White Chicks (2004),,,,,,,
,,,,,,,Cheaper by the Dozen (1950),Taken 3 (2015),,,Saved! (2004),Sanjuro (Tsubaki Sanjûrô) (1962),,,,,,,
,,,,,,,Life Is a Long Quiet River (La vie est un long fleuve tranquille) (1988),21 (2008),,,"Dreamlife of Angels, The (Vie rêvée des anges, La) (1998)","Kingdom, The (2007)",,,,,,,
,,,,,,,Who Am I? (Wo shi shei) (1998),"Ring, The (2002)",,,Mary Shelley's Frankenstein (Frankenstein) (1994),Equilibrium (2002),,,,,,,
,,,,,,,She-Devil (1989),Sleuth (1972),,,"Great Ziegfeld, The (1936)",Undisputed II: Last Man Standing (2006),,,,,,,
,,,,,,,His Girl Friday (1940),Snipes (2001),,,Invictus (2009),Seeking Justice (2011),,,,,,,
,,,,,,,Rosencrantz and Guildenstern Are Dead (1990),Jagged Edge (1985),,,Narc (2002),Game of Death (1978),,,,,,,
,,,,,,,Leave It to Beaver (1997),Maze Runner: The Death Cure (2018),,,The Fundamentals of Caring (2016),Masters of the Universe (1987),,,,,,,
,,,,,,,Stealing Rembrandt (Rembrandt) (2003),He Loves Me... He Loves Me Not (À la folie... pas du tout) (2002),,,Casualties of War (1989),Salt (2010),,,,,,,
,,,,,,,Allan Quatermain and the Lost City of Gold (1987),Frailty (2001),,,Defending Your Life (1991),"Big Boss, The (Fists of Fury) (Tang shan da xiong) (1971)",,,,,,,
,,,,,,,In Her Shoes (2005),Body of Lies (2008),,,"City of Lost Souls, The (Hyôryuu-gai) (2000)",In the Name of the King: A Dungeon Siege Tale (2008),,,,,,,
,,,,,,,Let's Go to Prison (2006),"Clockwork Orange, A (1971)",,,American Me (1992),London Has Fallen (2016),,,,,,,
,,,,,,,Daddy Day Care (2003),Push (2009),,,To Live and Die in L.A. (1985),Kingdom of Heaven (2005),,,,,,,
,,,,,,,"TV Set, The (2006)","Guardian, The (1990)",,,"Collector, The (La collectionneuse) (1967)",Enemy of the State (1998),,,,,,,
,,,,,,,Coyote Ugly (2000),Trilogy of Terror (1975),,,"Village, The (2004)",Jarhead (2005),,,,,,,
,,,,,,,The Edge of Seventeen (2016),"Getaway, The (1972)",,,The Butterfly Effect (2004),Dragon Ball Z the Movie: The World's Strongest (a.k.a. Dragon Ball Z: The Strongest Guy in The World) (Doragon bôru Z: Kono yo de ichiban tsuyoi yatsu) (1990),,,,,,,
,,,,,,,Company Man (2000),Sweeney Todd (2006),,,Letters to Juliet (2010),Logan (2017),,,,,,,
,,,,,,,Zoom (2006),Babel (2006),,,On the Ropes (1999),Dawn of the Dead (2004),,,,,,,
,,,,,,,"Ladykillers, The (2004)",Hush (2016),,,Patton (1970),"Crow: Salvation, The (2000)",,,,,,,
,,,,,,,Keeping the Faith (2000),Throne of Blood (Kumonosu jô) (1957),,,"Shop Around the Corner, The (1940)","Killer, The (Die xue shuang xiong) (1989)",,,,,,,
,,,,,,,"Weather Man, The (2005)",Candyman (1992),,,Elevator to the Gallows (a.k.a. Frantic) (Ascenseur pour l'échafaud) (1958),Flying Tigers (1942),,,,,,,
,,,,,,,"Pink Panther Strikes Again, The (1976)","Art of War, The (2000)",,,"Good Mother, The (1988)",Lara Croft: Tomb Raider (2001),,,,,,,
,,,,,,,Southland Tales (2006),First Reformed (2017),,,Mighty Aphrodite (1995),Marauders (2016),,,,,,,
,,,,,,,"Lady Eve, The (1941)","Boy and His Dog, A (1975)",,,Death in Venice (Morte a Venezia) (1971),"Heat, The (2013)",,,,,,,
,,,,,,,The Hitman's Bodyguard (2017),Captain Phillips (2013),,,The Machinist (2004),Man of the House (2005),,,,,,,
,,,,,,,Renaissance Man (1994),End of Days (1999),,,All the Pretty Horses (2000),Abraham Lincoln: Vampire Hunter (2012),,,,,,,
,,,,,,,Hard Ticket to Hawaii (1987),"Package, The (1989)",,,"Marine, The (2006)",Transformers: Revenge of the Fallen (2009),,,,,,,
,,,,,,,"Snapper, The (1993)",Anything for Her (Pour elle) (2008),,,Brother 2 (Brat 2) (2000),Run All Night (2015),,,,,,,
,,,,,,,8 ½ Women (a.k.a. 8 1/2 Women) (a.k.a. Eight and a Half Women) (1999),"Cercle Rouge, Le (Red Circle, The) (1970)",,,English Vinglish (2012),Turbulence (1997),,,,,,,
,,,,,,,The Interview (2014),Harry Potter and the Goblet of Fire (2005),,,Down Terrace (2009),Sin City: A Dame to Kill For (2014),,,,,,,
,,,,,,,Sweet and Lowdown (1999),"Purge, The (2013)",,,Beautiful Creatures (2013),Fire with Fire (2012),,,,,,,
,,,,,,,Logan Lucky (2017),"Evil Dead, The (1981)",,,Jobs (2013),Zathura (2005),,,,,,,
,,,,,,,Train of Life (Train de vie) (1998),Universal Soldier: Day of Reckoning (2012),,,Margaret (2011),Project A ('A' gai waak) (1983),,,,,,,
,,,,,,,The Final Girls (2015),Dial M for Murder (1954),,,Pierrot le fou (1965),Dragon Ball Z: Bojack Unbound (Doragon bôru Z 9: Ginga girigiri!! Butchigiri no sugoi yatsu) (1993),,,,,,,
,,,,,,,Submarine (2010),13 Tzameti (2005),,,I Love You Phillip Morris (2009),Romeo Must Die (2000),,,,,,,
,,,,,,,Reno 911!: Miami (2007),Maniac Cop (1988),,,"Family Thing, A (1996)","French Connection, The (1971)",,,,,,,
,,,,,,,Da geht noch was! (2013),"Patriot, The (1998)",,,Chariots of Fire (1981),Star Trek II: The Wrath of Khan (1982),,,,,,,
,,,,,,,"Object of Beauty, The (1991)","In Crowd, The (2000)",,,Soft Fruit (1999),"Warriors, The (1979)",,,,,,,
,,,,,,,"Butcher's Wife, The (1991)",Poltergeist III (1988),,,"Girl Who Played with Fire, The (Flickan som lekte med elden) (2009)",Hot Shots! (1991),,,,,,,
,,,,,,,"Honey, I Shrunk the Kids (1989)",Psycho Beach Party (2000),,,Possession (2002),Taxi 4 (2007),,,,,,,
,,,,,,,"Party, The (Boum, La) (1980)",Wrong Turn 2: Dead End (2007),,,Sword of Vengeance (2014),Men in Black III (M.III.B.) (M.I.B.³) (2012),,,,,,,
,,,,,,,"Woman Is a Woman, A (femme est une femme, Une) (1961)",Diamonds Are Forever (1971),,,Educating Rita (1983),Hero (Ying xiong) (2002),,,,,,,
,,,,,,,Trainspotting (1996),"Fog, The (2005)",,,"Lake House, The (2006)",Knowing (2009),,,,,,,
,,,,,,,Popstar: Never Stop Never Stopping (2016),A Quiet Place (2018),,,Pusher III: I'm the Angel of Death (2005),Justice League (2017),,,,,,,
,,,,,,,Sex Tape (2014),Day Watch (Dnevnoy dozor) (2006),,,Things You Can Tell Just by Looking at Her (2000),Rogue One: A Star Wars Story (2016),,,,,,,
,,,,,,,Unfaithfully Yours (1948),"Woman in Black, The (2012)",,,Why Do Fools Fall In Love? (1998),Battleship (2012),,,,,,,
,,,,,,,Jane Austen's Mafia! (1998),"Wraith, The (1986)",,,Tequila Sunrise (1988),Peter Pan (2003),,,,,,,
,,,,,,,Weird Science (1985),Westworld (1973),,,Mrs. Parker and the Vicious Circle (1994),"Walk Among the Tombstones, A (2014)",,,,,,,
,,,,,,,Monsters University (2013),Return to Paradise (1998),,,Four Brothers (2005),"Gauntlet, The (1977)",,,,,,,
,,,,,,,Pygmalion (1938),Abduction (2011),,,"Little Princess, A (1995)",The Pumaman (1980),,,,,,,
,,,,,,,Herbie: Fully Loaded (2005),ARQ (2016),,,Contraband (2012),Star Trek V: The Final Frontier (1989),,,,,,,
,,,,,,,Man on High Heels (2014),Eye See You (D-Tox) (2002),,,Miracles - Mr. Canton and Lady Rose (1989),Nothing to Lose (1997),,,,,,,
,,,,,,,I Spy (2002),Child's Play 3 (1991),,,"Pan's Labyrinth (Laberinto del fauno, El) (2006)","Mechanic, The (2011)",,,,,,,
,,,,,,,When in Rome (2010),Enigma (2001),,,"End of the Affair, The (1999)",White Squall (1996),,,,,,,
,,,,,,,Late Marriage (Hatuna Meuheret) (2001),Poker Night (2014),,,"Day the Earth Stood Still, The (2008)",Northmen - A Viking Saga (2014),,,,,,,
,,,,,,,In China They Eat Dogs (I Kina spiser de hunde) (1999),"General's Daughter, The (1999)",,,Braveheart (1995),Sympathy for the Underdog (1971),,,,,,,
,,,,,,,Big Momma's House 2 (2006),Stuck (2007),,,Dirty Pretty Things (2002),Scouts Guide to the Zombie Apocalypse (2015),,,,,,,
,,,,,,,Quick Change (1990),Notorious (1946),,,"Terrorist, The (a.k.a. Malli) (Theeviravaathi) (1998)",To End All Wars (2001),,,,,,,
,,,,,,,"Adventures of Milo and Otis, The (Koneko monogatari) (1986)","Road Warrior, The (Mad Max 2) (1981)",,,Funny Games (1997),3:10 to Yuma (1957),,,,,,,
,,,,,,,"Whole Ten Yards, The (2004)",Puppet Master II (1991),,,Center Stage (2000),Batman: Mystery of the Batwoman (2003),,,,,,,
,,,,,,,Machete (2010),Jurassic Park III (2001),,,Midnight Express (1978),Chaos (2005),,,,,,,
,,,,,,,One Man Band (2005),Romeo Is Bleeding (1993),,,Front of the Class (2008),"Guns of Navarone, The (1961)",,,,,,,
,,,,,,,Where the Money Is (2000),Raise the Titanic (1980),,,Fat City (1972),American Outlaws (2001),,,,,,,
,,,,,,,Bad Santa (2003),Snakes on a Plane (2006),,,Of Mice and Men (1939),Agent Cody Banks (2003),,,,,,,
,,,,,,,Little Boxes (2017),Cold Comes the Night (2013),,,Masked & Anonymous (2003),Helter Skelter (2004),,,,,,,
,,,,,,,"Good Morning, Vietnam (1987)",The Green Inferno (2014),,,Reform School Girls (1986),Into the Wild (2007),,,,,,,
,,,,,,,Sons of the Desert (1933),Eye of the Beholder (1999),,,The Skeleton Twins (2014),X-Men: Apocalypse (2016),,,,,,,
,,,,,,,Knockin' on Heaven's Door (1997),"Stepford Wives, The (2004)",,,Rosemary's Baby (1968),Death Wish 5: The Face of Death (1994),,,,,,,
,,,,,,,Bedazzled (1967),"Kingdom, The (2007)",,,Imaginary Heroes (2004),"World's End, The (2013)",,,,,,,
,,,,,,,Semi-Pro (2008),Straw Dogs (1971),,,THX 1138 (1971),Ender's Game (2013),,,,,,,
,,,,,,,Band of Outsiders (Bande à part) (1964),Equilibrium (2002),,,Greenberg (2010),Watchmen: Tales of the Black Freighter (2009),,,,,,,
,,,,,,,Playing It Cool (2014),Scream 2 (1997),,,About a Boy (2002),Zombeavers (2014),,,,,,,
,,,,,,,Ice Age (2002),"Hills Have Eyes, The (2006)",,,"Greatest Game Ever Played, The (2005)",Scooby-Doo 2: Monsters Unleashed (2004),,,,,,,
,,,,,,,Jack the Bear (1993),Dark Passage (1947),,,Julien Donkey-Boy (1999),Doomsday (2008),,,,,,,
,,,,,,,Class Reunion (1982),Seeking Justice (2011),,,My Left Foot (1989),The Hunger Games (2012),,,,,,,
,,,,,,,Richie Rich (1994),"Timecrimes (Cronocrímenes, Los) (2007)",,,Oxygen (1999),Dragon Ball Z: Resurrection of F (2015),,,,,,,
,,,,,,,Overboard (1987),"Debt, The (2011)",,,Itty Bitty Titty Committee (2007),Wicked Blood (2014),,,,,,,
,,,,,,,"New Guy, The (2002)",Salt (2010),,,"His Secret Life (a.k.a. Ignorant Fairies, The) (Fate ignoranti, Le) (2001)",First Blood (Rambo: First Blood) (1982),,,,,,,
,,,,,,,Patti Rocks (1988),"Big Boss, The (Fists of Fury) (Tang shan da xiong) (1971)",,,"Sum of Us, The (1994)",Mission: Impossible II (2000),,,,,,,
,,,,,,,Libeled Lady (1936),London Has Fallen (2016),,,Running With Scissors (2006),Dragonslayer (1981),,,,,,,
,,,,,,,I Went Down (1997),Enemy of the State (1998),,,No Man's Land (2001),Dead Fury (2008),,,,,,,
,,,,,,,Moscow on the Hudson (1984),"Innocents, The (1961)",,,Shane (1953),Coffy (1973),,,,,,,
,,,,,,,Jesus Christ Vampire Hunter (2001),Bleeder (1999),,,"Corruptor, The (1999)","Men Who Stare at Goats, The (2009)",,,,,,,
,,,,,,,"Pest, The (1997)",Dragon Ball Z the Movie: The World's Strongest (a.k.a. Dragon Ball Z: The Strongest Guy in The World) (Doragon bôru Z: Kono yo de ichiban tsuyoi yatsu) (1990),,,Harrison Bergeron (1995),Sin City (2005),,,,,,,
,,,,,,,Keeping Up with the Joneses (2016),Villain (1971),,,Kansas City (1996),Mortal Kombat: Annihilation (1997),,,,,,,
,,,,,,,Everyone Says I Love You (1996),Ugetsu (Ugetsu monogatari) (1953),,,"Love Song for Bobby Long, A (2004)",Iron Monkey (Siu nin Wong Fei-hung ji: Tit Ma Lau) (1993),,,,,,,
,,,,,,,Space Jam (1996),Dawn of the Dead (2004),,,We Bought a Zoo (2011),"Chronicles of Riddick, The (2004)",,,,,,,
,,,,,,,Dr. Phibes Rises Again (1972),"Mothman Prophecies, The (2002)",,,"Salo, or The 120 Days of Sodom (Salò o le 120 giornate di Sodoma) (1976)",Rapid Fire (1992),,,,,,,
,,,,,,,Catch and Release (2006),"Killer, The (Die xue shuang xiong) (1989)",,,Death of a Salesman (1985),Curse of the Golden Flower (Man cheng jin dai huang jin jia) (2006),,,,,,,
,,,,,,,"Dennis the Menace Christmas, A (2007)",L.A. Confidential (1997),,,O (2001),We Were Soldiers (2002),,,,,,,
,,,,,,,George Carlin: You Are All Diseased (1999),Dead Men Don't Wear Plaid (1982),,,Two Brothers (Deux frères) (2004),Justice League: Crisis on Two Earths (2010),,,,,,,
,,,,,,,Next Stop Wonderland (1998),16 Blocks (2006),,,World Traveler (2001),The Magnificent Seven (2016),,,,,,,
,,,,,,,"Three Stooges, The (2012)",Marathon Man (1976),,,"Scarlet Letter, The (1995)",The Amazing Screw-On Head (2006),,,,,,,
,,,,,,,"Goods: Live Hard, Sell Hard, The (2009)","Others, The (2001)",,,"Run of the Country, The (1995)",Anaconda (1997),,,,,,,
,,,,,,,Grabbers (2012),[REC] (2007),,,Turtles Can Fly (Lakposhtha hâm parvaz mikonand) (2004),The Lego Batman Movie (2017),,,,,,,
,,,,,,,"Apple Dumpling Gang Rides Again, The (1979)",Abraham Lincoln: Vampire Hunter (2012),,,Lifeboat (1944),Kuffs (1992),,,,,,,
,,,,,,,Reckless Kelly (1994),Run All Night (2015),,,Legionnaire (1998),Red Tails (2012),,,,,,,
,,,,,,,Block Party (a.k.a. Dave Chappelle's Block Party) (2005),Turbulence (1997),,,Revenge of the Green Dragons (2014),Let the Bullets Fly (2010),,,,,,,
,,,,,,,"Union: The Business Behind Getting High, The (2007)",Sin City: A Dame to Kill For (2014),,,Once Upon a Time in China (Wong Fei Hung) (1991),Wing Commander (1999),,,,,,,
,,,,,,,"Shaggy D.A., The (1976)",Seven (a.k.a. Se7en) (1995),,,Rape Me (Baise-moi) (2000),Nothing to Lose (1994),,,,,,,
,,,,,,,Clue (1985),That Demon Within (2014),,,Breakin' (1984),"Island, The (2005)",,,,,,,
,,,,,,,Nanny McPhee (2005),"Big Bounce, The (2004)",,,Juno (2007),"Friend Is a Treasure, A (Chi Trova Un Amico, Trova un Tesoro) (Who Finds a Friend Finds a Treasure) (1981)",,,,,,,
,,,,,,,The Voices (2014),Romeo Must Die (2000),,,The Imitation Game (2014),"Cannonball Run, The (1981)",,,,,,,
,,,,,,,Tyler Perry's Diary of a Mad Black Woman (2005),"French Connection, The (1971)",,,"Motorcycle Diaries, The (Diarios de motocicleta) (2004)",Infernal Affairs 2 (Mou gaan dou II) (2003),,,,,,,
,,,,,,,Mr. Wonderful (1993),Star Trek II: The Wrath of Khan (1982),,,Dog Day Afternoon (1975),Death Wish 2 (1982),,,,,,,
,,,,,,,Scream (1996),"Warriors, The (1979)",,,Shutter Island (2010),Dragon Ball Z: The History of Trunks (Doragon bôru Z: Zetsubô e no hankô!! Nokosareta chô senshi - Gohan to Torankusu) (1993),,,,,,,
,,,,,,,Smokey and the Bandit III (1983),Derailed (2005),,,Love Lasts Three Years (L'amour dure trois ans) (2011),"Living Daylights, The (1987)",,,,,,,
,,,,,,,Hear My Song (1991),"Spy Who Came in from the Cold, The (1965)",,,King of Comedy (Hei kek ji wong) (1999),"Princess Blade, The (Shura Yukihime) (2001)",,,,,,,
,,,,,,,Tyler Perry's Daddy's Little Girls (2007),Dead Ringers (1988),,,Fluke (1995),Bad Company (2002),,,,,,,
,,,,,,,Shanghai Kiss (2007),Knowing (2009),,,Baadasssss! (How to Get the Man's Foot Outta Your Ass) (2003),"Princess Bride, The (1987)",,,,,,,
,,,,,,,View from the Top (2003),Battleship (2012),,,Hood of Horror (2006),Inglorious Bastards (Quel maledetto treno blindato) (1978),,,,,,,
,,,,,,,"Happy, Texas (1999)",Righteous Kill (2008),,,Phone Booth (2002),Drive Angry (2011),,,,,,,
,,,,,,,Start the Revolution Without Me (1970),"Cat's Meow, The (2002)",,,Dope (2015),Fay Grim (2006),,,,,,,
,,,,,,,"Summer's Tale, A (Conte d'été) (1996)","Walk Among the Tombstones, A (2014)",,,TiMER (2009),Gone in 60 Seconds (2000),,,,,,,
,,,,,,,Calendar Girls (2003),Harvard Man (2001),,,As Good as It Gets (1997),Seven Samurai (Shichinin no samurai) (1954),,,,,,,
,,,,,,,Cirque du Freak: The Vampire's Assistant (2009),"Lodger: A Story of the London Fog, The (1927)",,,Jackie Brown (1997),Teenage Mutant Ninja Turtles: Turtles Forever (2009),,,,,,,
,,,,,,,Angie (1994),"Lost Boys, The (1987)",,,Heaven and Earth (Ten to Chi to) (1990),Dead Snow (Død snø) (2009),,,,,,,
,,,,,,,"40-Year-Old Virgin, The (2005)",Insidious: The Last Key (2018),,,Dead Man Walking (1995),Double Impact (1991),,,,,,,
,,,,,,,"Love, Rosie (2014)","Nightmare on Elm Street, A (1984)",,,Mary of Scotland (1936),No Mercy (1986),,,,,,,
,,,,,,,Keanu (2016),"Mechanic, The (2011)",,,"Twilight Saga: New Moon, The (2009)",Munich (2005),,,,,,,
,,,,,,,Black Butler: Book of the Atlantic (2017),Millennium (1989),,,"Hunting Party, The (2007)",Mission: Impossible - Fallout (2018),,,,,,,
,,,,,,,"Truman Show, The (1998)",Reservoir Dogs (1992),,,"Trial, The (Procès, Le) (1962)",In the Name of the King III (2014),,,,,,,
,,,,,,,They Call Me Trinity (1971),3:10 to Yuma (1957),,,Time Lapse (2014),Piranha (Piranha 3D) (2010),,,,,,,
,,,,,,,"Corrina, Corrina (1994)",Man's Best Friend (1993),,,Dunkirk (2017),"Bourne Identity, The (2002)",,,,,,,
,,,,,,,The Road Within (2014),Chaos (2005),,,Unfaithful (2002),"Bourne Supremacy, The (2004)",,,,,,,
,,,,,,,Young Guns (1988),"Talk of the Town, The (1942)",,,Deliverance (1972),Ultimate Avengers 2 (2006),,,,,,,
,,,,,,,"Flintstones, The (1994)",The Beguiled (2017),,,Pearl Harbor (2001),Supergirl (1984),,,,,,,
,,,,,,,Sun Alley (Sonnenallee) (1999),Catch a Fire (2006),,,Radio Days (1987),Drive Hard (2014),,,,,,,
,,,,,,,Half Baked (1998),Jennifer's Body (2009),,,Raising Victor Vargas (2002),Another 48 Hrs. (1990),,,,,,,
